cifar10, arcface
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
7         1.407490    1.355404    0.684400  00:31                                                                                                       
8         1.401678    1.363279    0.679800  00:30                                                                                                       
9         1.381057    1.356480    0.680800  00:30                                                                                                        
10        1.378126    1.344599    0.688100  00:30                                                                                                        
11        1.360529    1.326293    0.694400  00:30                                                                                                        
12        1.333565    1.320055    0.702900  00:31                                                                                                        
13        1.322143    1.308681    0.707700  00:30                                                                                                        
14        1.343721    1.301046    0.712600  00:30                                                                                                        
15        1.310177    1.297577    0.720300  00:31                                                                                                        
16        1.310501    1.294018    0.720400  00:30                                                                                                        
17        1.304701    1.286312    0.718500  00:30                                                                                                        
18        1.309083    1.284794    0.716400  00:30                                                                                                        
19        1.306086    1.283990    0.720700  00:30                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         1.292917    1.282965    0.720200  00:30                                                                                                       
1         1.312848    1.286669    0.721500  00:30                                                                                                       
2         1.295682    1.286010    0.722800  00:31                                                                                                       
3         1.297145    1.288166    0.719300  00:31                                                                                                       
4         1.308854    1.283728    0.719000  00:30                                                                                                       
5         1.330120    1.294444    0.716000  00:31                                                                                                       
6         1.322521    1.296213    0.718000  00:30                                                                                                       
7         1.329148    1.289097    0.719100  00:30                                                                                                       
8         1.308529    1.294969    0.718400  00:31                                                                                                       
9         1.315847    1.305097    0.714300  00:31                                                                                                        
10        1.332978    1.293405    0.715200  00:29                                                                                                        
11        1.303700    1.291937    0.720500  00:30                                                                                                        
12        1.306643    1.278972    0.721100  00:30                                                                                                        
13        1.284171    1.284319    0.721100  00:30                                                                                                        
14        1.307068    1.279949    0.725100  00:30                                                                                                        
15        1.293711    1.275935    0.725900  00:31                                                                                                        
16        1.310915    1.276583    0.730400  00:30                                                                                                        
17        1.287899    1.269266    0.731800  00:30                                                                                                        
18        1.289128    1.267242    0.731300  00:31                                                                                                        
19        1.282990    1.268145    0.735500  00:30                                                                                                        
20        1.264353    1.265767    0.735400  00:30                                                                                                        
21        1.298368    1.264516    0.736900  00:30                                                                                                        
22        1.292438    1.260224    0.737100  00:30                                                                                                        
23        1.279464    1.259181    0.737700  00:31                                                                                                        
24        1.268564    1.255596    0.737000  00:30                                                                                                        
25        1.273456    1.253352    0.739200  00:30                                                                                                        
26        1.257936    1.255024    0.741300  00:30                                                                                                        
27        1.272960    1.252536    0.741100  00:30                                                                                                        
28        1.272207    1.252655    0.739900  00:31                                                                                                        
29        1.269405    1.252012    0.740100  00:30                                                                                                        
cifar10; training: 2




