cifar10, arcface2
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
7         1.524547    1.498710    0.677800  00:31                                                                                                       
8         1.531955    1.513235    0.679000  00:31                                                                                                       
9         1.526163    1.487938    0.687000  00:31                                                                                                        
10        1.501156    1.481098    0.690700  00:30                                                                                                        
11        1.501946    1.471013    0.693600  00:31                                                                                                        
12        1.481511    1.460625    0.698500  00:30                                                                                                        
13        1.471024    1.450153    0.706100  00:32                                                                                                        
14        1.447986    1.437473    0.712800  00:31                                                                                                        
15        1.451924    1.431707    0.716600  00:31                                                                                                        
16        1.456702    1.427632    0.717600  00:31                                                                                                        
17        1.455073    1.427364    0.718900  00:30                                                                                                        
18        1.456355    1.423877    0.718400  00:31                                                                                                        
19        1.446695    1.423835    0.716400  00:31                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         1.441030    1.423078    0.719200  00:31                                                                                                       
1         1.438256    1.423757    0.720300  00:31                                                                                                       
2         1.446736    1.420522    0.721200  00:30                                                                                                       
3         1.436650    1.430194    0.719300  00:30                                                                                                       
4         1.448702    1.430282    0.715200  00:31                                                                                                       
5         1.467738    1.434618    0.713800  00:31                                                                                                       
6         1.449891    1.444895    0.707300  00:31                                                                                                       
7         1.473602    1.448108    0.708100  00:31                                                                                                       
8         1.445340    1.429672    0.713500  00:30                                                                                                       
9         1.451485    1.429941    0.719500  00:31                                                                                                        
10        1.466093    1.425398    0.718200  00:31                                                                                                        
11        1.433724    1.423963    0.719800  00:31                                                                                                        
12        1.452320    1.420095    0.718900  00:31                                                                                                        
13        1.454164    1.420668    0.720200  00:31                                                                                                        
14        1.436583    1.423787    0.721600  00:31                                                                                                        
15        1.430496    1.414592    0.723900  00:31                                                                                                        
16        1.435053    1.419436    0.721300  00:31                                                                                                        
17        1.439727    1.409999    0.727100  00:31                                                                                                        
18        1.427248    1.412687    0.727600  00:31                                                                                                        
19        1.441537    1.408594    0.725700  00:32                                                                                                        
20        1.409050    1.404108    0.731300  00:31                                                                                                        
