CUB_200_2011, arcface20
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
6         4.156698    4.024724    0.416207  00:53                                                                                                       
7         4.114582    4.002419    0.461604  00:53                                                                                                       
8         4.090355    3.969349    0.464149  00:53                                                                                                       
9         4.071994    3.993698    0.467543  00:53                                                                                                        
10        4.040811    3.965539    0.505303  00:53                                                                                                        
11        4.025207    3.928941    0.564277  00:53                                                                                                        
12        3.999591    3.916289    0.558761  00:53                                                                                                        
13        3.982647    3.908748    0.579975  00:53                                                                                                        
14        3.974225    3.892599    0.591006  00:53                                                                                                        
15        3.959041    3.892170    0.610946  00:53                                                                                                        
16        3.940889    3.888511    0.615189  00:53                                                                                                        
17        3.944557    3.883540    0.619431  00:53                                                                                                        
18        3.939306    3.880271    0.624523  00:53                                                                                                        
19        3.939789    3.882498    0.628765  00:53                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         3.934533    3.883417    0.629614  00:53                                                                                                       
1         3.938173    3.877643    0.629614  00:53                                                                                                       
2         3.933893    3.876713    0.628765  00:53                                                                                                       
3         3.928947    3.883436    0.616037  00:53                                                                                                       
4         3.950639    3.894468    0.617310  00:53                                                                                                       
5         3.954703    3.889120    0.614765  00:53                                                                                                       
6         3.957131    3.894541    0.609249  00:53                                                                                                       
7         3.978608    3.907599    0.601612  00:53                                                                                                       
8         3.964437    3.906964    0.614340  00:53                                                                                                       
9         3.964937    3.897126    0.616886  00:53                                                                                                        
10        3.975885    3.891835    0.613492  00:53                                                                                                        
11        3.966863    3.883828    0.611370  00:53                                                                                                        
12        3.974781    3.888546    0.609673  00:53                                                                                                        
13        3.969350    3.879982    0.621129  00:53                                                                                                        
14        3.964695    3.883261    0.637251  00:53                                                                                                        
15        3.959619    3.885011    0.628765  00:53                                                                                                        
16        3.945902    3.869746    0.634281  00:53                                                                                                        
17        3.949479    3.868817    0.644463  00:53                                                                                                        
18        3.951250    3.861394    0.649130  00:53                                                                                                        
19        3.932699    3.857558    0.654646  00:53                                                                                                        
20        3.929601    3.854477    0.657616  00:53                                                                                                        
21        3.927625    3.851619    0.658464  00:53                                                                                                        
22        3.922163    3.853904    0.663980  00:53                                                                                                        
23        3.923048    3.851880    0.663131  00:53                                                                                                        
24        3.913193    3.853588    0.666525  00:53                                                                                                        
25        3.910360    3.850943    0.672041  00:53                                                                                                        
26        3.910681    3.852518    0.672889  00:53                                                                                                        
27        3.909478    3.852108    0.671616  00:53                                                                                                        
28        3.907279    3.852690    0.665252  00:53                                                                                                        
29        3.901049    3.850430    0.672041  00:53                                                                                                        
--------------------------
