CUB_200_2011, arcface0
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
6         3.969114    3.819134    0.434875  00:53                                                                                                       
7         3.926002    3.808076    0.443360  00:53                                                                                                       
8         3.882915    3.770352    0.464998  00:53                                                                                                       
9         3.866450    3.780290    0.489605  00:53                                                                                                        
10        3.840207    3.751932    0.502333  00:53                                                                                                        
11        3.818624    3.733447    0.541366  00:53                                                                                                        
12        3.817391    3.726935    0.568944  00:53                                                                                                        
13        3.793675    3.722875    0.546457  00:53                                                                                                        
14        3.779598    3.697335    0.577429  00:53                                                                                                        
15        3.758967    3.697518    0.598218  00:53                                                                                                        
16        3.755512    3.689421    0.608825  00:53                                                                                                        
17        3.746651    3.687740    0.616037  00:53                                                                                                        
18        3.735405    3.685408    0.618583  00:53                                                                                                        
19        3.736171    3.685795    0.619856  00:53                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         3.746743    3.685190    0.621129  00:53                                                                                                       
1         3.739497    3.680707    0.614340  00:53                                                                                                       
2         3.746461    3.678014    0.625371  00:53                                                                                                       
3         3.736259    3.686211    0.615613  00:53                                                                                                       
4         3.747289    3.690903    0.621553  00:53                                                                                                       
5         3.758179    3.712700    0.616462  00:53                                                                                                       
6         3.768550    3.704473    0.591854  00:53                                                                                                       
7         3.774901    3.702332    0.603734  00:53                                                                                                       
8         3.772784    3.697051    0.621129  00:53                                                                                                       
9         3.760760    3.708635    0.596097  00:53                                                                                                        
10        3.783525    3.703910    0.604158  00:53                                                                                                        
11        3.780055    3.693745    0.603734  00:53                                                                                                        
12        3.777190    3.692481    0.616886  00:53                                                                                                        
13        3.775296    3.695101    0.615189  00:53                                                                                                        
14        3.768162    3.685251    0.627068  00:54                                                                                                        
15        3.758450    3.689347    0.638099  00:53                                                                                                        
16        3.748098    3.679251    0.631735  00:53                                                                                                        
17        3.761534    3.679262    0.645312  00:53                                                                                                        
18        3.740648    3.678404    0.646160  00:53                                                                                                        
19        3.740036    3.677212    0.642342  00:53                                                                                                        
20        3.740804    3.671831    0.644463  00:53                                                                                                        
21        3.722924    3.671927    0.662283  00:53                                                                                                        
22        3.725855    3.669209    0.664404  00:53                                                                                                        
23        3.726969    3.665476    0.658464  00:53                                                                                                        
24        3.722910    3.665687    0.666525  00:53                                                                                                        
25        3.722712    3.664512    0.665252  00:53                                                                                                        
26        3.722702    3.660700    0.675435  00:53                                                                                                        
27        3.709886    3.662427    0.669071  00:53                                                                                                        
28        3.720020    3.662325    0.674162  00:53                                                                                                        
29        3.717784    3.661477    0.673738  00:53                                                                                                        
--------------------------
