MNIST, arcface 0
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
7         0.894669    0.865559    0.983800  00:35                                                                                                       
8         0.885756    0.867962    0.982900  00:34                                                                                                       
9         0.884009    0.865264    0.984600  00:34                                                                                                        
10        0.885513    0.864295    0.987000  00:34                                                                                                        
11        0.880882    0.858582    0.988400  00:34                                                                                                        
12        0.875818    0.859952    0.987900  00:34                                                                                                        
13        0.867196    0.857634    0.988700  00:35                                                                                                        
14        0.868804    0.858240    0.988400  00:34                                                                                                        
15        0.868639    0.856155    0.989700  00:34                                                                                                        
16        0.868018    0.856577    0.990100  00:35                                                                                                        
17        0.871867    0.856942    0.989700  00:34                                                                                                        
18        0.868039    0.856256    0.989900  00:34                                                                                                        
19        0.863129    0.856129    0.990100  00:34                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.865320    0.855090    0.990700  00:34                                                                                                       
1         0.866380    0.855138    0.990000  00:34                                                                                                       
2         0.864375    0.855025    0.991500  00:34                                                                                                       
3         0.866155    0.856388    0.989900  00:34                                                                                                       
4         0.864098    0.856186    0.990100  00:34                                                                                                       
5         0.864410    0.857661    0.989100  00:34                                                                                                       
6         0.865381    0.855933    0.990100  00:34                                                                                                       
7         0.867087    0.855350    0.990600  00:35                                                                                                       
8         0.871963    0.866238    0.984700  00:34                                                                                                       
9         0.869546    0.858750    0.988300  00:34                                                                                                        
10        0.867440    0.857300    0.989200  00:34                                                                                                        
11        0.869230    0.858155    0.990000  00:34                                                                                                        
12        0.864561    0.857887    0.990500  00:34                                                                                                        
13        0.868748    0.856096    0.990500  00:35                                                                                                        
14        0.864707    0.856425    0.990100  00:34                                                                                                        
15        0.861982    0.857530    0.990100  00:35                                                                                                        
16        0.862181    0.855858    0.990300  00:34                                                                                                        
17        0.860547    0.856329    0.989900  00:34                                                                                                        
18        0.864226    0.856644    0.989200  00:34                                                                                                        
19        0.861069    0.856541    0.990300  00:34                                                                                                        
20        0.865187    0.855659    0.990800  00:34                                                                                                        
21        0.857779    0.855608    0.991400  00:34                                                                                                        
22        0.860419    0.855037    0.991100  00:34                                                                                                        
23        0.858066    0.855649    0.991000  00:34                                                                                                        
24        0.858845    0.855316    0.991200  00:34                                                                                                        
25        0.861620    0.854162    0.991600  00:33                                                                                                        
26        0.856960    0.854244    0.991800  00:34                                                                                                        
27        0.858119    0.855553    0.991700  00:34                                                                                                        
28        0.861261    0.854235    0.991500  00:34                                                                                                        
29        0.855397    0.854668    0.991900  00:34                                                                                                        
--------------------------
MNIST, arcface20
